# Image Generation Experiment Prompts
# Format: ID | Category | Style | Prompt
# Generated images will be named: {ID}.png

# === STYLE EXPERIMENTS (001-020) ===
001 | style | cyberpunk | Quantum particles floating in a neon-lit cyberpunk cityscape, holographic data streams, rain-slicked surfaces reflecting pink and cyan lights, dystopian futurism
002 | style | art-deco | Quantum energy patterns in art deco style, geometric golden rays, symmetrical designs, 1920s elegance, black and gold palette
003 | style | watercolor | Soft watercolor painting of subatomic particles, flowing washes of blue and purple, organic bleeding edges, dreamlike quality
004 | style | isometric | Isometric 3D illustration of a quantum computer, clean geometric shapes, pastel colors, technical precision, flat shading
005 | style | minimalist | Ultra-minimalist representation of wave-particle duality, single thin line transforming from wave to dot, vast negative space, monochrome
006 | style | vaporwave | Quantum realm in vaporwave aesthetic, pink and purple gradients, Greek statues, glitch effects, retro-futuristic
007 | style | japanese-ink | Quantum mechanics as Japanese sumi-e ink painting, elegant brushstrokes, zen simplicity, particle as single ink dot creating ripples
008 | style | stained-glass | Quantum entanglement depicted as medieval stained glass window, vibrant jewel tones, lead line divisions, sacred geometry
009 | style | blueprint | Technical blueprint of quantum wave function, white lines on dark blue, engineering annotations, precise measurements
010 | style | oil-painting | Classical oil painting style of atomic orbitals, rich textures, chiaroscuro lighting, Renaissance master technique
011 | style | low-poly | Low-poly 3D render of quantum superposition, faceted geometric forms, bold colors, modern game art aesthetic
012 | style | line-art | Intricate line art illustration of quantum field theory, continuous flowing lines, no fills, pen and ink style
013 | style | neon-noir | Dark noir scene with neon quantum equations floating in smoke, detective aesthetic, moody shadows, single color accent
014 | style | paper-cut | Layered paper cut art of wave interference patterns, depth through shadows, white paper on dark background
015 | style | pixel-art | Retro pixel art of quantum physics concepts, 16-bit aesthetic, limited palette, nostalgic gaming style
016 | style | bauhaus | Bauhaus design interpretation of atomic structure, primary colors, geometric shapes, functional minimalism
017 | style | psychedelic | Psychedelic 1960s poster style quantum visualization, swirling colors, kaleidoscopic patterns, fractal elements
018 | style | brutalist | Brutalist graphic design of quantum mechanics, heavy typography, raw textures, stark contrasts, industrial feel
019 | style | nouveau | Art nouveau flowing curves depicting electron orbitals, organic forms, decorative borders, muted earth tones
020 | style | glitch | Digital glitch art of quantum uncertainty, corrupted pixels, RGB splitting, data moshing effects

# === COLOR PALETTE EXPERIMENTS (021-035) ===
021 | color | monochrome-blue | Quantum waves in monochromatic blue palette, from navy to ice blue, depth through value only
022 | color | warm-sunset | Quantum particles glowing in warm sunset colors, oranges reds and golds, ember-like energy
023 | color | acid-green | Radioactive-looking quantum field in acid green and black, toxic glow, hazard aesthetic
024 | color | pastel-soft | Soft pastel visualization of superposition, baby pink and mint, gentle and approachable
025 | color | high-contrast | Extreme high contrast black and white quantum imagery, stark shadows, no midtones
026 | color | duotone-purple | Duotone image in purple and gold of entangled particles, elegant and regal
027 | color | neon-rainbow | Full neon rainbow spectrum quantum energy burst, vibrant LGBTQ pride colors, celebratory
028 | color | earth-tones | Quantum physics in natural earth tones, browns greens and terracotta, organic science
029 | color | ice-cold | Frozen quantum state in ice blue and white, crystalline structures, absolute zero feeling
030 | color | fire-hot | Quantum energy as pure fire, reds oranges yellows, plasma-like intensity
031 | color | grayscale | Pure grayscale quantum mechanics visualization, no color, focus on form and light
032 | color | retrowave | Retrowave color scheme for quantum concepts, hot pink magenta and cyan on dark purple
033 | color | muted-vintage | Vintage muted colors depicting wave function, faded photographs, nostalgic science
034 | color | jewel-tones | Rich jewel tones for quantum entanglement, emerald ruby sapphire amethyst, luxurious
035 | color | oxidized-metal | Quantum art in oxidized copper and iron tones, patina textures, aged industrial

# === SUBJECT MATTER EXPERIMENTS (036-055) ===
036 | subject | double-slit | Double slit experiment visualization, particle beam splitting, interference pattern forming on screen
037 | subject | schrodinger-cat | Abstract representation of Schrodinger's cat, overlapping alive and dead states, quantum box
